0,0,1000,22673602
1,0,1000,85856
0,0,1000,6377820
1,0,1000,80864
0,0,1000,3002123
1,0,1000,81408
0,0,1000,3001873
1,0,1000,73648
0,0,1000,3001533
1,0,1000,79612
0,0,1000,3001596
1,0,1000,81149
0,0,1000,3001475
1,0,1000,79377
0,0,1000,3001702
1,0,1000,78802
0,0,1000,3002136
1,0,1000,77972
0,0,1000,3001901
1,0,1000,80543
0,0,1000,3001407
1,0,1000,80415
0,0,1000,3001384
1,0,1000,75491
0,0,1000,3001565
1,0,1000,79314
0,0,1000,3001829
1,0,1000,79959
0,0,1000,3002035
1,0,1000,79841
0,0,1000,3001826
1,0,1000,80574
0,0,1000,3001853
1,0,1000,80742
0,0,1000,3002024
1,0,1000,79573
0,0,1000,3001601
1,0,1000,78341
0,0,1000,3001824
1,0,1000,80728
0,0,1000,3001746
1,0,1000,71010
0,0,1000,3001916
1,0,1000,79302
0,0,1000,3001890
1,0,1000,78875
0,0,1000,3001563
1,0,1000,78537
0,0,1000,3001689
1,0,1000,80239
0,0,1000,3001661
1,0,1000,79537
0,0,1000,3001877
1,0,1000,77285
0,0,1000,3001696
1,0,1000,79156
0,0,1000,3001951
1,0,1000,79406
0,0,1000,3001837
1,0,1000,79693
0,0,1000,3001784
1,0,1000,79831
0,0,1000,3001546
1,0,1000,80330
0,0,1000,3001538
1,0,1000,80384
0,0,1000,3001785
1,0,1000,80174
0,0,1000,3001301
1,0,1000,80221
0,0,1000,3001596
1,0,1000,80821
0,0,1000,3001669
1,0,1000,80385
0,0,1000,3001244
1,0,1000,80600
0,0,1000,3001955
1,0,1000,81296
0,0,1000,3001453
1,0,1000,80624
0,0,1000,3001388
1,0,1000,75959
0,0,1000,3001698
1,0,1000,73616
0,0,1000,3001895
1,0,1000,78087
0,0,1000,3001995
1,0,1000,81291
0,0,1000,3001826
1,0,1000,80497
0,0,1000,3001642
1,0,1000,78762
0,0,1000,3001824
1,0,1000,70148
0,0,1000,3001866
1,0,1000,79685
0,0,1000,3001725
1,0,1000,80506
0,0,1000,3001398
1,0,1000,79294
0,0,1000,3001801
1,0,1000,80661
