0,0,10,6829092
1,0,10,1228
0,0,100,126
1,0,100,9053
0,0,1000,121
1,0,1000,79603
0,0,2000,125
1,0,2000,149034
0,0,3000,118
1,0,3000,221692
0,0,4000,115
1,0,4000,298841
0,0,5000,118
1,0,5000,373316
0,0,6000,113
1,0,6000,451103
0,0,10,1732014
1,0,10,1143
0,0,100,158
1,0,100,7745
0,0,1000,58
1,0,1000,78676
0,0,2000,111
1,0,2000,135257
0,0,3000,113
1,0,3000,182258
0,0,4000,114
1,0,4000,258635
0,0,5000,131
1,0,5000,353526
0,0,6000,191
1,0,6000,428777
0,0,7000,129
1,0,7000,495819
0,0,10,3001756
1,0,10,1237
0,0,100,190
1,0,100,8678
0,0,1000,90
1,0,1000,79152
0,0,2000,117
1,0,2000,150392
0,0,3000,125
1,0,3000,224971
0,0,4000,110
1,0,4000,296488
0,0,5000,156
1,0,5000,369136
0,0,6000,118
1,0,6000,446970
0,0,7000,121
1,0,7000,519515
0,0,10,3001975
1,0,10,1184
0,0,100,125
1,0,100,8673
0,0,1000,118
1,0,1000,78770
0,0,2000,100
1,0,2000,148227
0,0,3000,104
1,0,3000,224758
0,0,4000,171
1,0,4000,296153
0,0,5000,118
1,0,5000,370077
0,0,6000,106
1,0,6000,445794
0,0,7000,120
1,0,7000,518267
0,0,10,3001685
1,0,10,1211
0,0,100,64
1,0,100,8678
0,0,1000,148
1,0,1000,67911
0,0,2000,102
1,0,2000,129174
0,0,3000,104
1,0,3000,193195
0,0,4000,103
1,0,4000,258939
0,0,5000,109
1,0,5000,322030
0,0,6000,101
1,0,6000,390591
0,0,7000,114
1,0,7000,450006
0,0,10,3001858
1,0,10,1292
0,0,100,51
1,0,100,8637
0,0,1000,128
1,0,1000,78517
0,0,2000,123
1,0,2000,148251
0,0,3000,113
1,0,3000,222472
0,0,4000,120
1,0,4000,297084
0,0,5000,113
1,0,5000,371394
0,0,6000,108
1,0,6000,442983
0,0,7000,123
1,0,7000,518550
0,0,10,3002016
1,0,10,1211
0,0,100,70
1,0,100,8748
0,0,1000,126
1,0,1000,78648
0,0,2000,110
1,0,2000,148318
0,0,3000,101
1,0,3000,223578
0,0,4000,112
1,0,4000,294406
0,0,5000,111
1,0,5000,366503
0,0,6000,108
1,0,6000,444652
0,0,10,1526629
1,0,10,1154
0,0,100,105
1,0,100,8808
0,0,1000,117
1,0,1000,79105
0,0,2000,117
1,0,2000,149522
0,0,3000,111
1,0,3000,222437
0,0,4000,147
1,0,4000,297366
0,0,5000,117
1,0,5000,370509
0,0,6000,107
1,0,6000,446190
0,0,7000,107
1,0,7000,520168
0,0,10,3001640
1,0,10,1197
0,0,100,160
1,0,100,8592
0,0,1000,116
1,0,1000,78853
0,0,2000,111
1,0,2000,148669
0,0,3000,107
1,0,3000,224004
0,0,4000,108
1,0,4000,295903
0,0,5000,120
1,0,5000,371134
0,0,6000,112
1,0,6000,445418
0,0,10,1800741
1,0,10,1295
0,0,100,157
1,0,100,8664
0,0,1000,126
1,0,1000,79106
0,0,2000,97
1,0,2000,150360
0,0,3000,111
1,0,3000,224785
0,0,4000,115
1,0,4000,301656
0,0,5000,116
1,0,5000,345833
0,0,6000,120
1,0,6000,435341
0,0,7000,120
1,0,7000,505580
0,0,10,3001327
1,0,10,1337
0,0,100,88
1,0,100,8151
0,0,1000,153
1,0,1000,71922
0,0,2000,103
1,0,2000,149296
0,0,3000,132
1,0,3000,194034
0,0,4000,103
1,0,4000,299856
0,0,5000,123
1,0,5000,324946
0,0,6000,106
1,0,6000,393263
0,0,7000,105
1,0,7000,453888
0,0,10,3001897
1,0,10,1238
0,0,100,71
1,0,100,8109
0,0,1000,113
1,0,1000,73186
0,0,2000,100
1,0,2000,131330
0,0,3000,100
1,0,3000,195259
0,0,4000,112
1,0,4000,261950
0,0,5000,157
1,0,5000,324070
0,0,6000,118
1,0,6000,393707
0,0,7000,114
1,0,7000,454722
0,0,10,3001602
1,0,10,1174
0,0,100,127
1,0,100,8631
0,0,1000,261
1,0,1000,79720
0,0,2000,113
1,0,2000,148165
0,0,3000,120
1,0,3000,224477
0,0,4000,106
1,0,4000,300479
0,0,5000,124
1,0,5000,374011
0,0,6000,103
1,0,6000,448195
0,0,7000,118
1,0,7000,518436
0,0,10,3001998
1,0,10,1350
0,0,100,75
1,0,100,8640
0,0,1000,127
1,0,1000,80050
0,0,2000,118
1,0,2000,150844
0,0,3000,107
1,0,3000,224668
0,0,4000,72
1,0,4000,301058
0,0,5000,124
1,0,5000,371874
0,0,6000,113
1,0,6000,453448
0,0,7000,133
1,0,7000,525033
0,0,10,3001692
1,0,10,1235
0,0,100,119
1,0,100,8768
0,0,1000,114
1,0,1000,73720
0,0,2000,114
1,0,2000,138278
0,0,3000,114
1,0,3000,204798
0,0,4000,119
1,0,4000,298931
0,0,5000,114
1,0,5000,360902
0,0,6000,124
1,0,6000,453078
0,0,7000,132
1,0,7000,502423
0,0,10,3001779
1,0,10,1226
0,0,100,269
1,0,100,7811
0,0,1000,125
1,0,1000,69912
0,0,2000,108
1,0,2000,129600
0,0,3000,99
1,0,3000,193730
0,0,4000,120
1,0,4000,258699
0,0,5000,114
1,0,5000,320630
0,0,6000,149
1,0,6000,385114
0,0,7000,96
1,0,7000,444564
0,0,10,3001864
1,0,10,1094
0,0,100,104
1,0,100,8685
0,0,1000,126
1,0,1000,79329
0,0,2000,109
1,0,2000,147438
0,0,3000,96
1,0,3000,222275
0,0,4000,110
1,0,4000,298599
0,0,5000,111
1,0,5000,359445
