10,36569
100,30479
256,28245
512,26885
1024,26709
2048,26938
3000,26367
4000,27932
5000,26699
6000,42869
7000,36623
13,31617
16,33517
22,35324
10,40540
100,31331
256,29128
512,33066
1024,30391
2048,26943
3000,26792
4000,26664
5000,30169
6000,33412
7000,26744
13,26671
16,26473
22,26173
10,41862
100,36601
256,36770
512,32768
1024,26455
2048,26518
3000,29115
4000,26321
5000,26636
6000,26569
7000,26840
13,26580
16,26470
22,26296
10,38459
100,47449
256,36181
512,40408
1024,36231
2048,35955
3000,37136
4000,33230
5000,37051
6000,30521
7000,32815
13,46339
16,30544
22,26921
10,41830
100,42715
256,33524
512,30466
1024,33252
2048,42150
3000,33038
4000,30190
5000,31556
6000,39877
7000,29562
13,27287
16,30153
22,29970
10,43233
100,39706
256,35734
512,36935
1024,51697
2048,33176
3000,36189
4000,51137
5000,27012
6000,52432
7000,46148
13,34488
16,46522
22,39659
10,40533
100,37473
256,39121
512,43598
1024,30254
2048,33352
3000,30572
4000,36570
5000,32421
6000,39112
7000,32241
13,33289
16,33550
22,27119
10,44042
100,36866
256,39566
512,45293
1024,40723
2048,41988
3000,30393
4000,31805
5000,48700
6000,42351
7000,37093
13,27052
16,30592
22,33773
10,42868
100,42994
256,39945
512,37093
1024,33697
2048,38848
3000,41208
4000,34914
5000,33350
6000,41581
7000,51818
13,40489
16,37716
22,41661
10,35495
100,41932
256,42649
512,34150
1024,36085
2048,40488
3000,39366
4000,30349
5000,32772
6000,30532
7000,44648
13,37991
16,39273
22,42146
10,40898
100,37125
256,39436
512,27035
1024,32702
2048,38607
3000,26683
4000,32638
5000,30324
6000,30531
7000,30337
13,26866
16,29898
22,32281
10,39939
100,35161
256,35567
512,30465
1024,36559
2048,36404
3000,31418
4000,40121
5000,28954
6000,28990
7000,34787
13,39075
16,31891
22,30210
10,37660
100,31685
256,44659
512,42484
1024,48547
2048,42974
3000,47813
4000,47897
5000,40332
6000,52219
7000,31942
13,32188
16,37925
22,42131
10,41087
100,33269
256,34591
512,37803
1024,38243
2048,36012
3000,32045
4000,31075
5000,31771
6000,31710
7000,31051
13,31698
16,31460
22,34171
10,43426
100,31065
256,28614
512,32750
1024,37391
2048,33734
3000,32628
4000,36472
5000,37622
6000,41208
7000,41446
13,38882
16,47583
22,42921
10,47188
100,37472
256,28477
512,29309
1024,41861
2048,36177
3000,48944
4000,31122
5000,34682
6000,39597
7000,41134
13,33835
16,35198
22,35308
10,38210
100,33377
256,31485
512,27330
1024,31961
2048,30629
3000,26651
4000,33419
5000,32693
6000,29283
7000,26271
13,33964
16,32161
22,32873
10,39967
100,37107
256,36813
512,41938
1024,36258
2048,26995
3000,26485
4000,33160
5000,37818
6000,40540
7000,30069
13,30505
16,26796
22,26803
10,41083
100,37453
256,31550
512,28425
1024,30095
2048,29856
3000,32914
4000,36740
5000,35183
6000,30118
7000,26498
13,30047
16,36858
22,40237
10,41832
100,36973
256,31471
512,33860
1024,27071
2048,40057
3000,26850
4000,42062
5000,30549
6000,36985
7000,33420
13,43596
16,30523
22,30627
10,41251
100,49916
256,35568
512,30716
1024,30615
2048,36984
3000,30996
4000,38993
5000,30976
6000,29759
7000,42070
13,39553
16,34817
22,44230
10,33981
100,34007
256,30383
512,31060
1024,40193
2048,48518
3000,34064
4000,32101
5000,34864
6000,29579
7000,30151
13,40386
16,27039
22,32780
10,41290
100,37304
256,28040
512,40486
1024,29273
2048,29179
3000,30767
4000,44513
5000,42402
6000,55331
7000,39773
13,34156
16,40088
22,35415
10,30011
100,33224
256,42662
512,28939
1024,36501
2048,26502
3000,29972
4000,29307
5000,34481
6000,31727
7000,30319
13,27376
16,39877
22,39994
10,40492
100,29835
256,37009
512,38993
1024,30231
2048,30372
3000,32436
4000,32514
5000,26883
6000,26555
7000,26745
13,30117
16,26893
22,29023
10,36830
100,34046
256,26622
512,31142
1024,32819
2048,38404
3000,26367
4000,26423
5000,31906
6000,35755
7000,27222
13,30012
16,27385
22,30505
10,34519
100,37330
256,44260
512,30383
1024,29738
2048,26877
3000,26600
4000,30274
5000,30469
6000,28920
7000,32626
13,30196
16,27463
22,29332
10,28974
100,29583
256,34158
512,36772
1024,29845
2048,26887
3000,26521
4000,29789
5000,26785
6000,29666
7000,26614
13,29686
16,26311
22,26356
10,35752
100,33259
256,30193
512,30778
1024,26683
2048,26863
3000,26236
4000,28615
5000,30458
6000,26497
7000,29801
13,33393
16,27092
22,26846
10,39062
100,33943
256,31721
512,33819
1024,60168
2048,36946
3000,44707
4000,37034
5000,37809
6000,29668
7000,38658
13,42422
16,31950
22,31635
10,37584
100,38158
256,33798
512,36145
1024,39529
2048,38523
3000,34986
4000,34844
5000,48831
6000,41403
7000,38597
13,41784
16,36687
22,38545
10,28887
100,27070
256,33521
512,31732
1024,33480
2048,34249
3000,36830
4000,40013
5000,38216
6000,42657
7000,46803
13,54730
16,62035
22,57161
10,46161
100,38623
256,56176
512,38597
1024,38833
2048,44840
3000,38005
4000,51394
5000,48866
6000,45620
7000,52365
13,60161
16,56609
22,54000
10,34963
100,34431
256,27602
512,27880
1024,35776
2048,27665
3000,29592
4000,36722
5000,27291
6000,29765
7000,26287
13,25882
16,26929
22,29690
10,31968
100,29989
256,29980
512,37753
1024,27090
2048,32732
3000,29593
4000,26017
5000,25756
6000,26807
7000,31890
13,26344
16,26383
22,26368
10,35413
100,27476
256,32618
512,43298
1024,34015
2048,39364
3000,35011
4000,30501
5000,38717
6000,27537
7000,51520
13,30581
16,39221
22,33838
10,33332
100,35612
256,45809
512,41826
1024,36833
2048,29756
3000,32591
4000,35774
5000,30431
6000,36549
7000,38587
13,27215
16,36843
22,29514
10,30419
100,27802
256,35914
512,31454
1024,32228
2048,26873
3000,30761
4000,42091
5000,32543
6000,26749
7000,26586
13,26465
16,34964
22,32550
10,32963
100,33979
256,30162
512,38633
1024,26550
2048,28671
3000,26544
4000,32673
5000,29914
6000,28683
7000,35195
13,26346
16,35330
22,30033
10,28385
100,26299
256,30333
512,34303
1024,27011
2048,26615
3000,26254
4000,28966
5000,32056
6000,26016
7000,27439
13,32807
16,27689
22,36667
10,35669
100,27164
256,26517
512,28885
1024,48069
2048,26953
3000,29609
4000,32983
5000,35425
6000,30235
7000,35642
13,32616
16,38705
22,26445
10,28674
100,26969
256,26700
512,33064
1024,42069
2048,30354
3000,40174
4000,26650
5000,26681
6000,32099
7000,36626
13,36763
16,39010
22,36457
10,31902
100,32688
256,30034
512,36119
1024,37018
2048,30695
3000,42327
4000,39948
5000,26500
6000,26347
7000,33053
13,27004
16,27206
22,26456
10,42446
100,37617
256,30268
512,34911
1024,33406
2048,30435
3000,38137
4000,26735
5000,29914
6000,43745
7000,31066
13,45199
16,42724
22,41307
10,36997
100,26583
256,29514
512,26407
1024,29742
2048,30291
3000,32978
4000,26876
5000,26249
6000,33768
7000,26439
13,26054
16,27312
22,35390
10,34518
100,42451
256,43507
512,31619
1024,36792
2048,27511
3000,35371
4000,40003
5000,37768
6000,29754
7000,29178
13,31186
16,39027
22,32940
10,47193
100,41677
256,43092
512,28608
1024,38094
2048,42401
3000,42400
4000,37057
5000,52488
6000,42233
7000,44838
13,39380
16,36971
22,39263
10,40712
100,41413
256,44587
512,58209
1024,38777
2048,40046
3000,31902
4000,34768
5000,36038
6000,38684
7000,27776
13,34351
16,30841
22,36825
10,38033
100,33259
256,35754
512,32453
1024,46878
2048,42309
3000,42257
4000,35995
5000,55516
6000,33719
7000,33851
13,30255
16,33285
22,38675
10,34763
100,42450
256,43663
512,34075
1024,39241
2048,37944
3000,46988
4000,46908
5000,38764
6000,54067
7000,33517
13,43935
16,40702
22,37528
