0,0,8032290
1,0,15056274
0,0,3023015
1,0,14653095
0,0,3022727
1,0,14536491
0,0,3018813
1,0,14801759
0,0,3020988
1,0,15733465
0,0,3017451
1,0,15612192
0,0,3019355
1,0,16962552
0,0,3022399
1,0,15970507
0,0,3024185
1,0,16486449
0,0,3020024
1,0,16930294
0,0,3025931
1,0,16243784
0,0,3024222
1,0,16128946
0,0,3018330
1,0,14637436
0,0,3018946
1,0,14346182
0,0,3022480
1,0,14541379
0,0,3005031
1,0,14932112
0,0,3019818
1,0,16537945
0,0,3024149
1,0,17027117
0,0,3028459
1,0,16479577
0,0,3018208
1,0,16866927
0,0,3022524
1,0,15087922
0,0,3025364
1,0,14800570
0,0,3026981
1,0,14990481
0,0,3017951
1,0,15238613
0,0,3025505
1,0,15501176
0,0,3023940
1,0,15140645
0,0,3019440
1,0,15509536
0,0,3020508
1,0,15930925
0,0,3017243
1,0,15837003
0,0,3018518
1,0,16070123
0,0,3022650
1,0,16992371
0,0,3031258
1,0,16232394
0,0,3017385
1,0,15950777
0,0,3021993
1,0,16319742
0,0,3018705
1,0,16809101
0,0,3020958
1,0,16672381
0,0,3018116
1,0,14898562
0,0,3020186
1,0,14319969
0,0,3022692
1,0,14434286
0,0,3016287
1,0,14745936
0,0,3022431
1,0,16026289
0,0,3021948
1,0,16471883
0,0,3023820
1,0,16474886
0,0,3022505
1,0,15922030
0,0,3026287
1,0,17104019
0,0,3014211
1,0,17014693
0,0,3024080
1,0,15910112
0,0,3024634
1,0,16484705
0,0,3025020
1,0,16612883
0,0,3067102
1,0,15500605
