x,y
45.349, 0.0
45.61, 0.010101010101010102
46.181, 0.020202020202020204
46.7, 0.030303030303030304
46.808, 0.04040404040404041
46.993, 0.050505050505050504
47.119, 0.06060606060606061
47.134, 0.0707070707070707
47.187, 0.08080808080808081
47.227, 0.09090909090909091
47.233, 0.10101010101010101
47.247, 0.1111111111111111
47.261, 0.12121212121212122
47.322, 0.13131313131313133
47.335, 0.1414141414141414
47.345, 0.15151515151515152
47.357, 0.16161616161616163
47.418, 0.1717171717171717
47.419, 0.18181818181818182
47.427, 0.1919191919191919
47.443, 0.20202020202020202
47.475, 0.21212121212121213
47.48, 0.2222222222222222
47.488, 0.23232323232323232
47.489, 0.24242424242424243
47.494, 0.25252525252525254
47.514, 0.26262626262626265
47.565, 0.2727272727272727
47.57, 0.2828282828282828
47.586, 0.29292929292929293
47.637, 0.30303030303030304
47.66, 0.31313131313131315
47.68, 0.32323232323232326
47.692, 0.3333333333333333
47.707, 0.3434343434343434
47.717, 0.35353535353535354
47.761, 0.36363636363636365
47.766, 0.37373737373737376
47.786, 0.3838383838383838
47.819, 0.3939393939393939
47.82, 0.40404040404040403
47.82, 0.41414141414141414
47.827, 0.42424242424242425
47.83, 0.43434343434343436
47.84, 0.4444444444444444
47.842, 0.45454545454545453
47.844, 0.46464646464646464
47.887, 0.47474747474747475
47.907, 0.48484848484848486
47.919, 0.494949494949495
47.928, 0.5050505050505051
47.939, 0.5151515151515151
47.941, 0.5252525252525253
47.954, 0.5353535353535354
47.956, 0.5454545454545454
47.956, 0.5555555555555556
47.961, 0.5656565656565656
47.966, 0.5757575757575758
47.971, 0.5858585858585859
48.056, 0.5959595959595959
48.062, 0.6060606060606061
48.09, 0.6161616161616161
48.092, 0.6262626262626263
48.095, 0.6363636363636364
48.127, 0.6464646464646465
48.129, 0.6565656565656566
48.184, 0.6666666666666666
48.187, 0.6767676767676768
48.204, 0.6868686868686869
48.218, 0.696969696969697
48.279, 0.7070707070707071
48.282, 0.7171717171717171
48.292, 0.7272727272727273
48.313, 0.7373737373737373
48.373, 0.7474747474747475
48.417, 0.7575757575757576
48.472, 0.7676767676767676
48.54, 0.7777777777777778
48.562, 0.7878787878787878
48.598, 0.797979797979798
48.619, 0.8080808080808081
48.657, 0.8181818181818182
48.677, 0.8282828282828283
48.682, 0.8383838383838383
48.738, 0.8484848484848485
48.783, 0.8585858585858586
48.795, 0.8686868686868687
48.945, 0.8787878787878788
49.012, 0.8888888888888888
49.121, 0.898989898989899
49.129, 0.9090909090909091
49.795, 0.9191919191919192
51.777, 0.9292929292929293
52.653, 0.9393939393939394
53.342, 0.9494949494949495
53.96, 0.9595959595959596
54.128, 0.9696969696969697
54.201, 0.9797979797979798
54.62, 0.98989898989899
57.239, 1.0
