num_caps, factor
10, 2.4438896189224706
100, 1.7906061351550822
1000, 1.8862062119474103
2000, 1.7764619897927438
3000, 1.7683080581495954
4000, 1.7552169574019687
5000, 1.7940882723554057
6000, 1.823620751192481
7000, 1.824429248420718
